Agrupacion;Cargo;Codigo;Distrito;Establecimiento;Fecha;IdCargo;IdCircuito;IdDistrito;IdSeccion;Mesa;Seccion;idAgrupacion;idAgrupacionInt;idLista;lista;tipoVoto;votos
ECO + VAMOS CORRIENTES;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:49;3;0005C;5;1;00463X;Capital;502;118;1;LIBERTAD + VALORES + NOSOTROS SOMOS EL CAMBIO;positivo;18
VAMOS CON VOS;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:49;3;0005C;5;1;00463X;Capital;503;119;2;LIBRES;positivo;11
VAMOS CON VOS;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:49;3;0005C;5;1;00463X;Capital;503;119;1;ENCUENTRO SOCIAL AMPLIO;positivo;2
;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:16;2;0005C;5;1;00464X;Capital;;;;;nulos;7
;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:16;2;0005C;5;1;00464X;Capital;;;;;recurridos;0
;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:16;2;0005C;5;1;00464X;Capital;;;;;comando;0
;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:16;2;0005C;5;1;00464X;Capital;;;;;blancos;0
;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:16;2;0005C;5;1;00464X;Capital;;;;;impugnados;0
COMPROMISO FEDERAL;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:16;2;0005C;5;1;00464X;Capital;82;116;1;ACCION CORRENTINA;positivo;5
FRENTE DE TODOS;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:16;2;0005C;5;1;00464X;Capital;501;117;1;CELESTE Y BLANCA;positivo;76
